id,order_id,product_id,order_date,delivery_date,order_quantity,planned_quantity,shipped_quantity,shipped_remaining_quantity,planned_progress_quantity,remaining_quantity,status,customer_code,customer_name,delivery_location,priority,notes,created_at,updated_at
4768,ORD-20251002-V053103705,3,2025-10-02,2025-10-02,3,3,0,0,0,3,計画済,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 3→3)","2025-10-13 05:46:45","2025-10-15 04:14:57"
4769,ORD-20251003-V053103705,3,2025-10-03,2025-10-03,3,3,0,0,0,3,計画済,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 3→3)","2025-10-13 05:46:45","2025-10-15 04:14:57"
4770,ORD-20251006-V053103705,3,2025-10-06,2025-10-06,3,3,0,0,0,3,計画済,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 3→3)","2025-10-13 05:46:45","2025-10-15 04:14:57"
4771,ORD-20251007-V053103705,3,2025-10-07,2025-10-07,3,3,0,0,0,3,計画済,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 3→3)","2025-10-13 05:46:45","2025-10-15 04:14:57"
4772,ORD-20251008-V053103705,3,2025-10-08,2025-10-08,3,3,0,0,0,3,計画済,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 3→3)","2025-10-13 05:46:45","2025-10-15 04:14:57"
4773,ORD-20251009-V053103705,3,2025-10-09,2025-10-09,3,3,0,0,0,3,計画済,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 3→3)","2025-10-13 05:46:45","2025-10-15 04:14:57"
4774,ORD-20251014-V053103705,3,2025-10-14,2025-10-14,3,3,0,-3,0,3,計画済,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 3→3)","2025-10-13 05:46:45","2025-10-15 04:14:57"
4775,ORD-20251016-V053103705,3,2025-10-16,2025-10-16,3,3,0,-6,0,3,計画済,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 3→3)","2025-10-13 05:46:45","2025-10-15 04:14:57"
4776,ORD-20251021-V053103705,3,2025-10-21,2025-10-21,3,3,0,-9,0,3,計画済,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 3→3)","2025-10-13 05:46:45","2025-10-15 04:14:58"
4777,ORD-20251022-V053103705,3,2025-10-22,2025-10-22,3,3,0,-12,0,3,計画済,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 3→3)","2025-10-13 05:46:45","2025-10-15 04:14:58"
4778,ORD-20251023-V053103705,3,2025-10-23,2025-10-23,3,3,0,-15,0,3,計画済,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 3→3)","2025-10-13 05:46:45","2025-10-15 04:14:58"
4779,ORD-20251024-V053103705,3,2025-10-24,2025-10-24,9,9,0,-24,0,9,計画済,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 9→9)","2025-10-13 05:46:45","2025-10-15 04:14:58"
4780,ORD-20251027-V053103705,3,2025-10-27,2025-10-27,6,6,0,-30,0,6,計画済,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 6→6)","2025-10-13 05:46:45","2025-10-15 04:15:56"
4781,ORD-20251029-V053103705,3,2025-10-29,2025-10-29,3,3,0,-33,0,3,計画済,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 3→3)","2025-10-13 05:46:45","2025-10-15 04:15:56"
4782,ORD-20251030-V053103705,3,2025-10-30,2025-10-30,3,3,0,-36,0,3,計画済,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 3→3)","2025-10-13 05:46:45","2025-10-15 04:15:56"
4783,ORD-20251104-V053103705,3,2025-11-04,2025-11-04,3,3,0,0,NULL,3,計画済,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 3→3)","2025-10-13 05:46:45","2025-10-14 22:28:57"
4784,ORD-20251106-V053103705,3,2025-11-06,2025-11-06,3,3,0,0,NULL,3,計画済,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 3→3)","2025-10-13 05:46:45","2025-10-14 22:28:57"
4785,ORD-20251107-V053103705,3,2025-11-07,2025-11-07,3,3,0,0,NULL,3,計画済,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 3→3)","2025-10-13 05:46:45","2025-10-14 22:28:57"
4786,ORD-20251110-V053103705,3,2025-11-10,2025-11-10,3,3,0,0,NULL,3,計画済,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 3→3)","2025-10-13 05:46:45","2025-10-14 22:28:57"
4787,ORD-20251113-V053103705,3,2025-11-13,2025-11-13,3,3,0,0,NULL,3,計画済,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 3→3)","2025-10-13 05:46:45","2025-10-14 22:28:57"
4788,ORD-20251114-V053103705,3,2025-11-14,2025-11-14,6,6,0,0,NULL,6,計画済,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 6→6)","2025-10-13 05:46:45","2025-10-14 22:28:57"
4789,ORD-20251118-V053103705,3,2025-11-18,2025-11-18,3,3,0,0,NULL,3,計画済,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 3→3)","2025-10-13 05:46:45","2025-10-14 22:28:57"
